Timestamp (ms),CPU (%),RAM (MB)
3570,0.540164,184.789
4765,7.3057,246.469
5952,7.29002,266.836
6956,6.7284,275.602
7968,6.83077,276.891
9096,7.83333,278.434
10182,6.48523,278.691
11297,6.13739,278.691
12297,5.32581,278.945
13298,5.4375,278.945
14497,3.76963,278.945
15497,5.11222,278.945
16590,4.6445,278.945
17723,10.0165,278.945
18767,8.26446,278.945
19963,8.23893,279.117
20964,7.83467,279.18
22163,7.74026,279.18
23363,7.73962,279.305
